frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
0,5,[1097.9263916015625 580.755126953125 1392.9061279296875 868.3450927734375],[1203.148193359375 776.45947265625 1287.656494140625 819.1365966796875],0.580662489,NU51WSU,0.138042084
5,5,[1094.340476089963 589.3861184211237 1396.6877025612257 885.1240350586008],[1205.0416259765625 791.0401611328125 1293.0531005859375 830.3073120117188],0.550277889,MI51VSW,0.070296936
8,5,[1098.3172457067594 595.3100300396851 1410.251992463106 893.9503410250051],[1210.9969482421875 798.3779296875 1294.783447265625 840.9012451171875],0.597383857,CU51VSU,0.058705795
9,3,[355.59865233613544 710.227838054377 710.446358576012 1034.635096534119],[466.9292907714844 916.002685546875 589.5020751953125 964.288330078125],0.560751975,NA13HRU,0.588658878
10,5,[1098.9240907362162 598.2187151701628 1415.0964381072647 899.498120350343],[1212.2197265625 800.4580688476562 1298.5008544921875 847.7201538085938],0.629610896,MI51YSW,0.192617478
12,5,[1096.5229792405198 602.1100140340895 1410.792475323468 904.7932258107044],[1212.9927978515625 808.9663696289062 1297.9759521484375 850.1244506835938],0.580402613,CI51YSU,0.042802049
15,3,[340.9905838877454 728.5331040446473 701.5293125232259 1056.382840335719],[463.44378662109375 940.8675537109375 578.9837646484375 992.0563354492188],0.592754781,NA13NRU,0.379252808
17,3,[336.8890455441868 734.9713270125143 699.8001551405935 1062.363715616776],[445.90118408203125 939.6221923828125 581.264892578125 997.0003051757812],0.490061373,NA13NRU,0.436028599
18,3,[333.88608560921057 739.9431496957068 696.8747393506039 1066.641508563764],[451.3076477050781 951.09521484375 577.0210571289062 1003.078857421875],0.572669625,MA13NRU,0.823885355
19,5,[1100.361828178284 623.3897139364907 1417.7191806417811 931.8464350330559],[1215.9993896484375 829.368896484375 1308.22412109375 873.7518310546875],0.620149016,NI51WSU,0.108443281
21,3,[328.318669593266 752.387002244414 693.4461307967998 1075.2467691727757],[442.82940673828125 964.582763671875 575.4541625976562 1020.0],0.617462099,NA13NRU,0.944809486
24,3,[325.3348945136841 760.5000909633789 691.7930930706941 1077.6890012633417],[434.2632751464844 977.2639770507812 563.033447265625 1032.4503173828125],0.620035231,NA13NRU,0.487529046
26,3,[323.56284546096975 766.5393229941934 689.9606101403688 1078.5157276639018],[440.27728271484375 987.2175903320312 570.771240234375 1044.892822265625],0.628813386,NA13NRU,0.262032632
28,3,[321.40474624598124 773.8765830342129 688.9793021492956 1078.5666287042668],[433.79150390625 991.2898559570312 559.8689575195312 1046.3758544921875],0.656128883,NA13NQU,0.258537765
33,3,[311.83484494586594 792.489213313989 681.9869986218959 1077.6889401361018],[424.1685791015625 1019.8866577148438 562.1099853515625 1075.4774169921875],0.640664577,NA13MRU,0.439723149
53,6,[553.6858100382053 591.4080750584383 853.1024216389587 830.9265503119082],[663.3910522460938 737.7006225585938 745.1581420898438 777.8783569335938],0.265748382,IG11SJJ,0.063062619
62,6,[536.9919574645942 609.260338194329 848.1609570879011 853.1044310324949],[653.1185913085938 756.1520385742188 740.1837768554688 799.0509033203125],0.313944072,GX15OGJ,0.501244921
70,5,[1132.6685010460615 763.5124334521759 1492.5315690855887 1077.4086572778492],[1264.342529296875 1028.3502197265625 1366.2078857421875 1072.2552490234375],0.697721481,MI51VSV,0.152292689
76,6,[522.0639638813516 639.4303929083986 842.4181064531808 892.7819934735622],[628.5130004882812 797.886474609375 725.9852905273438 840.3138427734375],0.50868541,GX15OGJ,0.654724524
77,6,[520.0082690613068 640.9350633497862 843.1182028260397 896.1848280635369],[636.2717895507812 796.5692138671875 727.5423583984375 841.0779418945312],0.578632116,GX15OGJ,0.487781018
83,6,[507.5173639588774 657.6983045876837 840.9962550738235 918.1682208844481],[616.0447998046875 818.93701171875 715.9165649414062 859.594482421875],0.499099731,CX15OGJ,0.625665882
91,6,[496.97616252300713 676.8436985389899 843.8169162660076 947.0166932112554],[616.0973510742188 846.610107421875 717.9611206054688 891.7750854492188],0.595235646,GX15OGJ,0.150157174
92,6,[492.99961412592955 680.4027719334051 843.2880767270569 950.4512878031037],[611.991943359375 846.8023681640625 711.4991455078125 895.0777587890625],0.491030157,GX15OCJ,0.253346791
93,6,[489.406417619182 683.2056347588893 842.269895734842 954.2232206561837],[611.7420043945312 850.7618408203125 717.6304931640625 896.8128662109375],0.504719257,GX15OCJ,0.51602884
94,6,[488.32078786348 684.3460999864881 843.2915452406667 956.6124934119584],[612.4369506835938 855.4967651367188 706.8171997070312 896.6804809570312],0.419768572,GX15OGJ,0.289399228
95,6,[485.54712487488666 685.9660130225993 841.7631571693151 960.2401572445833],[612.1724853515625 859.1295776367188 714.2422485351562 900.9803466796875],0.580094337,GX15OGJ,0.697545445
97,6,[482.10467950767526 691.1970743536663 840.6938623040919 968.240152181527],[606.9457397460938 865.7846069335938 714.1527099609375 906.8438110351562],0.584735155,GX15OCJ,0.387323834
98,6,[480.70763862807246 695.280362000597 840.322964311803 973.3499032841692],[611.1488647460938 870.8995971679688 709.2468872070312 913.7697143554688],0.651290596,GX15OCJ,0.539779938
